code_dpto,dpto,code_muni,muni,Creditos,Monto,Socias,Anio
55,Managua,5532,El Crucero,63,332050,16,2011
55,Managua,5535,San Rafael del Sur,59,297500,20,2011
60,Masaya,6005,Nindiri,2784,14772650,825,2011
60,Masaya,6010,Masaya,3581,19267500,802,2011
60,Masaya,6015,Tisma,141,744900,36,2011
60,Masaya,6020,La Concepcion,728,3724100,267,2011
60,Masaya,6025,Masatepe,784,3986050,253,2011
60,Masaya,6030,Nandasmo,52,276000,13,2011
60,Masaya,6035,Catarina,117,641700,38,2011
60,Masaya,6040,San Juan de Oriente,211,1144300,69,2011
60,Masaya,6045,Niquinohomo,389,2034950,114,2011
65,Chontales,6505,Comalapa,118,618400,39,2011
65,Chontales,6507,San Francisco de Cuapa,16,88000,1,2011
65,Chontales,6510,Juigalpa,852,4591500,216,2011
65,Chontales,6515,La Libertad,30,165000,7,2011
65,Chontales,6520,Santo Domingo,147,802200,44,2011
65,Chontales,6525,Santo Tomas,390,2122500,106,2011
65,Chontales,6530,San Pedro de Lovago,50,269600,9,2011
65,Chontales,6535,Acoyapa,57,311700,14,2011
65,Chontales,6540,Villa Sandino,65,350300,12,2011
65,Chontales,6545,El Coral,229,1245100,74,2011
70,Granada,7005,Diria,85,435100,29,2011
70,Granada,7010,Diriomo,320,1707600,88,2011
70,Granada,7015,Granada,2394,12505250,614,2011
70,Granada,7020,Nandaime,247,1334200,44,2011
75,Carazo,7505,San Marcos,646,3380050,192,2011
75,Carazo,7510,Jinotepe,1302,6941250,348,2011
75,Carazo,7515,Dolores,233,1227500,64,2011
75,Carazo,7520,Diriamba,1584,8170700,465,2011
75,Carazo,7525,El Rosario,141,713350,32,2011
75,Carazo,7530,La Paz de Carazo,131,668200,37,2011
75,Carazo,7535,Santa Teresa,219,1112700,52,2011
75,Carazo,7540,La Conquista,105,515100,34,2011
80,Rivas,8005,Tola,87,426150,25,2011
80,Rivas,8010,Belen,376,2011200,120,2011
80,Rivas,8015,Potosi,592,3139850,202,2011
80,Rivas,8020,Buenos Aires,118,647200,31,2011
80,Rivas,8025,Moyogalpa,448,2359550,152,2011
80,Rivas,8030,Altagracia,191,1011700,59,2011
80,Rivas,8035,San Jorge,363,1964050,107,2011
80,Rivas,8040,Rivas,2197,11828250,630,2011
80,Rivas,8045,San Juan del Sur,698,3700400,220,2011
80,Rivas,8050,Cardenas,323,1710700,129,2011
85,Rio San Juan,8510,El Almendro,60,326400,20,2011
85,Rio San Juan,8505,Morrito,284,1550300,76,2011
85,Rio San Juan,8525,El Castillo,160,871850,42,2011
85,Rio San Juan,8530,San Juan de Nicaragua,0,0,0,2011
85,Rio San Juan,8520,San Carlos,560,3051050,156,2011
85,Rio San Juan,8515,San Miguelito,282,1549200,72,2011
91,Region Autonoma de la Costa Caribe Norte,9125,Mulukuku,119,649100,56,2011
91,Region Autonoma de la Costa Caribe Norte,9127,Waslala,153,821700,53,2011
91,Region Autonoma de la Costa Caribe Norte,9130,Siuna,311,1631250,127,2011
91,Region Autonoma de la Costa Caribe Norte,9120,Bonanza,545,2965100,187,2011
91,Region Autonoma de la Costa Caribe Norte,9105,Waspan,6,33000,1,2011
91,Region Autonoma de la Costa Caribe Norte,9115,Rosita,513,2801700,166,2011
91,Region Autonoma de la Costa Caribe Norte,9110,Puerto Cabezas,171,926100,31,2011
91,Region Autonoma de la Costa Caribe Norte,9135,Prinzapolka,0,0,0,2011
93,Region Autonoma de la Costa Caribe Sur,9345,Nueva Guinea,1202,6520050,352,2011
93,Region Autonoma de la Costa Caribe Sur,9310,La Cruz de Rio Grande,0,0,0,2011
93,Region Autonoma de la Costa Caribe Sur,9305,Paiwas,192,1020850,67,2011
93,Region Autonoma de la Costa Caribe Sur,9316,El Tortuguero,0,0,0,2011
93,Region Autonoma de la Costa Caribe Sur,9325,Muelle de los Bueyes,632,3397700,190,2011
93,Region Autonoma de la Costa Caribe Sur,9330,Kukrahill,72,394200,20,2011
93,Region Autonoma de la Costa Caribe Sur,9320,El Rama,309,1677900,101,2011
93,Region Autonoma de la Costa Caribe Sur,9312,Desembocadura de Rio Grande,0,0,0,2011
93,Region Autonoma de la Costa Caribe Sur,9315,Laguna de Perlas,91,464500,20,2011
93,Region Autonoma de la Costa Caribe Sur,9323,El Ayote,165,897600,56,2011
93,Region Autonoma de la Costa Caribe Sur,9340,Bluefields,225,1228500,39,2011
93,Region Autonoma de la Costa Caribe Sur,9335,Corn Island,96,495600,18,2011
